road,points,toll,geometry
,baner,,POINT (73.7657518125074 18.56905668610655)
,katraj,,POINT (73.85852403979649 18.448291267405565)
,theur,,POINT (74.0002520102255 18.49216702904424)
,wagholi,,POINT (73.98479566902097 18.580965919809316)
,keshav nagar,,POINT (73.93860049195908 18.56213988956084)
,shivaji nagar,,POINT (73.85507078356207 18.53028506531429)
,pimpri,,POINT (73.82223763447274 18.60676757073118)
